,precision,recall,f1-score,support
Hip-Hop,0.6808510638297872,0.7852760736196319,0.7293447293447294,163.0
Country,0.4166666666666667,0.39325842696629215,0.4046242774566474,89.0
Rock,0.7407407407407407,0.061068702290076333,0.11283497884344147,655.0
Electronic,0.3076923076923077,0.07017543859649122,0.11428571428571428,57.0
Pop,0.33725490196078434,0.33725490196078434,0.33725490196078434,255.0
Indie,0.017828200972447326,0.6875,0.03475513428120063,16.0
Folk,0.075,0.35294117647058826,0.12371134020618557,17.0
R&B,0.15151515151515152,0.21739130434782608,0.17857142857142858,23.0
Metal,0.6134453781512605,0.48344370860927155,0.5407407407407407,151.0
Jazz,0.2857142857142857,0.046511627906976744,0.08,43.0
Other,0.0,0.0,0.0,31.0
micro avg,0.26548672566371684,0.26,0.26271471876052543,1500.0
macro avg,0.3297007906584937,0.3122564873425399,0.24146574960826114,1500.0
weighted avg,0.5644978463654651,0.26,0.2754494120497143,1500.0
