,precision,recall,f1-score,support
Hip-Hop,0.631578947368421,0.8098159509202454,0.7096774193548387,163.0
Country,0.31092436974789917,0.4157303370786517,0.3557692307692308,89.0
Rock,0.7037037037037037,0.02900763358778626,0.05571847507331378,655.0
Electronic,0.14285714285714285,0.017543859649122806,0.03125,57.0
Pop,0.35135135135135137,0.2549019607843137,0.29545454545454547,255.0
Indie,0.01347305389221557,0.5625,0.02631578947368421,16.0
Folk,0.046052631578947366,0.4117647058823529,0.08284023668639054,17.0
R&B,0.041666666666666664,0.043478260869565216,0.0425531914893617,23.0
Metal,0.6911764705882353,0.31125827814569534,0.4292237442922374,151.0
Jazz,0.125,0.023255813953488372,0.0392156862745098,43.0
Other,0.0,0.0,0.0,31.0
micro avg,0.21641791044776118,0.21266666666666667,0.21452589105581707,1500.0
macro avg,0.27798039434132576,0.2617506182610202,0.18800166535164656,1500.0
weighted avg,0.5339883059888452,0.21266666666666667,0.22017717407644308,1500.0
